Id,Name,Program,Breakfast,Lunch,Dinner,Snacks,Energy,Protein,Fatness,Carbohydrates,Calcium,Na,Potassium,Alcohol,Water,Category,Weight S,Img_file S,Img_width S,Img_height S,Weight M,Img_file M,Img_width M,Img_height M,Weight L,Img_file L,Img_width L,Img_height L,Weight XL,Img_file XL,Img_width XL,Img_height XL,Menu Image,,
1,Chicken,1,1,1,1,0,98.85,18.59,1.02,2.63,10.89,423.36,206.88,0,76.73,9,107.2,chicken_s,209,171,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,chicken_menu,עוף,دجاج
2,Olive Oil,1,1,1,1,0,884,0,100,0,1,2,1,0,0,5,9.9,oliveoil_p6_t,105,109,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,oliveoil_m_t,שמן זית,زيت زيتون
3,Humus,1,1,1,1,0,264.14,11.75,16.82,13.19,218.26,275.64,283.32,0,52.07,5,32.4,hummus_p_t,99,98,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,hummus_m_t,חומוס,حمص
4,Pear,1,1,1,1,1,58,0.38,0.12,12.36,9,1,119,0,83.71,6,100.6,pear_004,114,212,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,pear_004,אגס,اجاص
5,Green Apple,1,1,1,1,1,52,0.26,0.17,11.41,6,1,107,0,85.56,6,186.7,im013_t,160,159,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,im013_t,תפוח ירוק,تفاح اخضر
6,Red Apple,2,1,1,1,1,52,0.26,0.17,11.41,6,1,107,0,85.56,6,71.4,apple_s,148,126,212.6,apple_red,157,165,1,zzz_null_image,1,1,1,zzz_null_image,1,1,apple_red,תפוח אדום,تفاح احمر
7,Water Melon,1,1,1,1,1,30,0.61,0.15,7.15,7,1,112,0,91.45,6,132,im001_t,172,261,204,im002_t,209,297,1,zzz_null_image,1,1,1,zzz_null_image,1,1,im001_t,אבטיח,بطيخ
8,Orange,2,1,1,1,1,47,0.94,0.12,9.35,40,0,181,0,86.75,6,193.5,im003_t,203,197,364,im007_t,201,202,1,zzz_null_image,1,1,1,zzz_null_image,1,1,im003_t,תפוז,برتقال
9,Grape,2,1,1,1,1,69,0.72,0.16,17.2,10,2,191,0,80.54,6,36,im019_t,92,127,72,im008_t,179,148,230.7,im009_t,215,345,1,zzz_null_image,1,1,im009_t,ענבים,عنب
10,Banana,2,1,1,1,1,89,1.09,0.33,20.24,5,1,358,0,74.91,6,90.4,im004_t,110,267,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,im017_t,בננה,موز
11,Tomato,2,1,1,1,1,18,0.88,0.2,2.72,10,5,237,0,94.5,7,31.8,im027_t,79,110,57.5,im025_t,119,118,113.9,im026_t,136,145,1,zzz_null_image,1,1,im026_t,עגבניה,بندوره
12,Peas And Carrot,1,1,1,1,0,53,3.04,0.29,6.82,22,248,175,0,85.8,8,24.1,carrotandpea_p0_t,120,118,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,carrotandpea_m_t,אפונה וגזר,بازيلاء وجزر
13,Rice,1,0,1,1,0,130,2.69,0.28,27.77,10,1,35,0,68.44,8,33.9,rice_p_t,181,175,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,rice_m1_t,אורז,ارز
14,Kishuim,1,0,1,1,0,20,0.9,0.31,2.88,27,283,191,0,93.02,8,25,zucchini_p2_t,121,128,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,zucchini_m2_t,קישואים,
15,Eggplants,1,0,1,1,0,99.95,1.18,8.37,2.68,10.69,182.93,267.81,0,82.82,8,81.9,eggplant_p7_t,257,215,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,eggplant_m_t,חצילים,باذنجان
16,Mushrooms,1,0,1,1,0,28,2.16,0.47,3.06,6,239,354,0,90.52,8,53,mashrooms_p4_t,152,148,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,mashrooms_p4_t,פטריות,فطر
17,Cooked Carrot,1,0,1,1,0,35,0.76,0.18,5.17,30,296,234,0,89.62,8,15.8,caroot_p_t,131,225,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,caroot_m2_t,גזר מבושל,جزر مطبوخ
18,Spaghetti,2,0,1,1,0,128.48,3.98,2.73,20.35,10.7,322.32,136.06,0,70.28,11,77.3,spaggeti_psmall_t,218,237,177.3,spaggeti_plarge_t,288,312,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,spaggeti_psmall_t,ספגטי,سباغيتي
